cluster_id,affiliation_variant,occurrence_count,sources,canonical_key,display_name,fingerprint_key,token_key,suggested_canonical,match_reason,priority,cluster_variant_count,cluster_total_occurrences,canonical_keys_differ,country_suffix_only,needs_review,confirmed_same,approved_canonical
C0037,Oldenburg University,10,delegates; delegates_raw; delegates_sanitized; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,University of Oldenburg,University of Oldenburg,oldenburg university,oldenburg university,University of Oldenburg,"fingerprint, token_key",high,4,43,False,False,True,,
C0037,"University of Oldenburg, Germany",4,delegates; delegates_raw,University of Oldenburg,University of Oldenburg,university of oldenburg,oldenburg university,University of Oldenburg,"fingerprint, token_key",high,4,43,False,False,True,,
C0037,"Oldenburg University, Germany",2,delegates; delegates_raw,University of Oldenburg,University of Oldenburg,oldenburg university,oldenburg university,University of Oldenburg,"fingerprint, token_key",high,4,43,False,False,True,,
C0062,Conservation International,37,delegates; delegates_raw; delegates_sanitized; emissions; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,Conservation International,Conservation International,conservation international,conservation international,Conservation International,token_key,low,3,43,False,True,True,,
C0062,"Conservation International, Samoa",4,delegates; delegates_raw,Conservation International,Conservation International,conservation international,conservation international,Conservation International,token_key,low,3,43,False,True,True,,
C0062,"Conservation International, New Caledonia",2,delegates; delegates_raw,Conservation International,Conservation International,conservation international,conservation international,Conservation International,token_key,low,3,43,False,True,True,,
C0444,Okinawa Institute of Science and Technology,39,delegates; delegates_raw; delegates_sanitized; emissions; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,Okinawa Institute of Science and Technology,Okinawa Institute of Science and Technology,okinawa institute of science and technology,institute okinawa science technology,Okinawa Institute of Science and Technology,token_key,low,2,43,False,True,True,,
C0444,"Okinawa Institute of Science and Technology, Japan",4,delegates; delegates_raw,Okinawa Institute of Science and Technology,Okinawa Institute of Science and Technology,okinawa institute of science and technology,institute okinawa science technology,Okinawa Institute of Science and Technology,token_key,low,2,43,False,True,True,,
C0575,Universidade Federal do Rio de Janeiro,37,delegates; delegates_raw; delegates_sanitized; emissions; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,Universidade Federal do Rio de Janeiro,Universidade Federal do Rio de Janeiro,universidade federal do rio de janeiro,de do federal janeiro rio universidade,Universidade Federal do Rio de Janeiro,token_key,low,2,43,False,True,True,,
C0575,"Universidade Federal do Rio de Janeiro, Brazil",6,delegates; delegates_raw,Universidade Federal do Rio de Janeiro,Universidade Federal do Rio de Janeiro,universidade federal do rio de janeiro,de do federal janeiro rio universidade,Universidade Federal do Rio de Janeiro,token_key,low,2,43,False,True,True,,
C0602,University of California - Santa Cruz,34,delegates; delegates_raw; delegates_sanitized; emissions; geocode_cache; geocode_overrides; map_locations; speaker_profiles; speaker_profiles_cache; talks,University of California - Santa Cruz,University of California - Santa Cruz,university of california - santa cruz,california cruz santa university,University of California - Santa Cruz,token_key,low,2,43,False,True,True,,
C0602,"University of California - Santa Cruz, United States",9,delegates; delegates_raw; geocode_cache,University of California - Santa Cruz,University of California - Santa Cruz,university of california - santa cruz,california cruz santa university,University of California - Santa Cruz,token_key,low,2,43,False,True,True,,
C0053,Bermuda Institute of Ocean Sciences,38,delegates; delegates_raw; delegates_sanitized; emissions; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,Bermuda Institute of Ocean Sciences,Bermuda Institute of Ocean Sciences,bermuda institute of ocean sciences,bermuda institute ocean sciences,Bermuda Institute of Ocean Sciences,token_key,low,3,42,False,True,True,,
C0053,"Bermuda Institute of Ocean Sciences, Bermuda",2,delegates; delegates_raw,Bermuda Institute of Ocean Sciences,Bermuda Institute of Ocean Sciences,bermuda institute of ocean sciences,bermuda institute ocean sciences,Bermuda Institute of Ocean Sciences,token_key,low,3,42,False,True,True,,
